Text,Sentiment
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",1
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,1
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,1
MNTA Over 12.00  ,1
OI  Over 21.37  ,1
PGNX  Over 3.04  ,1
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,0
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,0
GOOG - ower trend line channel test & volume support.   ,1
AAP will watch tomorrow for ONG entry.,1
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,1
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",1
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,1
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,1
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,1
HA Hitting 35.65 means resume targeting 42 level ..  ,1
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,1
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",1
ATHX upper trend line   ,1
NG - nice PNF BY - breakout - need follow thru  ,1
Won't believe AAP uptrend is back until it crosses above MA(50),0
X swing still on   ,1
SWY - 30% of float short and breaking out - ouch,1
BIOF wants 4.90's comin!!!,1
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,1
" red, not ready for break out.",0
EI close to breaking out now.  My trigger is at 30.40.   ,1
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,1
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",1
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,1
"user: been adding VXY long off the bottom today for trade, also got WPI near low",0
"I repeat, if global economy is going to get better this year go with C instead of BAC",1
GOOG go ONG on close above 725.,1
NKD looking like a good short. Failed to break price level resistance at 116 today.,0
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1
SBX buy when it clears resistance at 54.5,1
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,1
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,0
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,1
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",1
NG stellar move - still long swing - full position - I believe user & user in it 2  ,1
ATICE & TADE SETP:  KO AN CNX,1
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,1
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1
c two daily  bull flags on top of each other=bullish still  ,1
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,1
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,1
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,1
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,0
BAC In a 11.97 for a trade,1
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,0
